code	category
0000790310020	sugary-snacks
0000790310044	candies
0000790310044	confectioneries
0000790310044	sugary-snacks
00008433	groceries
00008433	plant-based-foods-and-beverages
00008433	peppers
00008433	spices
00008433	condiments
00008433	plant-based-foods
00008761	groceries
00008761	plant-based-foods-and-beverages
00008761	culinary-plants
00008761	onions-and-their-products
00008761	fruits-and-vegetables-based-foods
00008761	vegetables-based-foods
00008761	condiments
00008761	plant-based-foods
00008761	onions
0000886100252	beverages
0000886100252	sugared-beverages
0000886100252	sodas
0000886100252	carbonated-drinks
0001000004005	spreads
0001000004005	plant-based-spreads
0001000004005	plant-based-foods-and-beverages
0001000004005	chestnut-spreads
0001000004005	nuts-and-their-products
0001000004005	plant-based-foods
0001006530676	canned-foods
000104	cakes
000104	biscuits-and-cakes
000104	sugary-snacks
00011021096	foies-gras-from-ducks
00011021096	fish-and-meat-and-eggs
00011021096	foies-gras
00011201096	foies-gras-from-ducks
00011201096	fish-and-meat-and-eggs
00011201096	foies-gras
0001123550	terrine
00011251085	foies-gras-from-ducks
00011251085	fish-and-meat-and-eggs
00011251085	foies-gras
0001126220	foies-gras-from-ducks
0001126220	fish-and-meat-and-eggs
0001126220	foies-gras
00011281070	fish-and-meat-and-eggs
00011281070	foies-gras-from-gooses
00011281070	foies-gras
00011281076	fish-and-meat-and-eggs
00011281076	foies-gras-from-gooses
00011281076	foies-gras
00011501	sugary-snacks
00011501	confectioneries
00011501	chocolate-candies
00011501	bonbons
00011679	sugary-snacks
00011679	biscuits
00011679	chocolate-cookies
00011679	chocolate-biscuits
00011679	cookies
00011679	biscuits-and-cakes
00011686	sugary-snacks
00011686	raisin-cookies
00011686	biscuits
00011686	cookies
00011686	biscuits-and-cakes
00011693	cookies
00011693	biscuits
00011693	biscuits-and-cakes
00011693	sugary-snacks
00011709	sugary-snacks
00011709	raisin-cookies
00011709	biscuits
00011709	cookies
00011709	biscuits-and-cakes
00011723	cookies
00011723	biscuits
00011723	biscuits-and-cakes
00011723	sugary-snacks
00011730	cookies
00011730	biscuits
00011730	biscuits-and-cakes
00011730	sugary-snacks
00011747	sugary-snacks
00011747	biscuits
00011747	chocolate-cookies
00011747	chocolate-biscuits
00011747	cookies
00011747	biscuits-and-cakes
00011747	cookies-with-milk-chocolate
00011754	cookies
00011754	biscuits
00011754	biscuits-and-cakes
00011754	sugary-snacks
00011778	cookies
00011778	biscuits
00011778	biscuits-and-cakes
00011778	sugary-snacks
00011815	cookies
00011815	biscuits
00011815	biscuits-and-cakes
00011815	sugary-snacks
00011839	beverages
00011839	plant-based-beverages
00011839	plant-based-foods-and-beverages
00011839	smoothies
00011839	non-alcoholic-beverages
00012444	ice-cream-tubs
00012444	ice-creams
00012444	frozen-foods
00012444	ice-creams-and-sorbets
00012444	frozen-desserts
00012444	desserts
00013029	fermented-milk-products
00013029	cheddar-slices
00013029	fermented-foods
00013029	cheeses
00013029	dairies
00013029	sliced-cheeses
00013029	cheeses-from-england
00013029	cheddar-cheese
00013029	cow-cheeses
00013029	cheeses-from-the-united-kingdom
00013628	meals
00013628	meals-with-chicken
00013628	meals-with-meat
00013628	poultry-meals
00013628	meat-based-products
00014816	sauces
00014816	groceries
00014816	mayonnaises
00015349	spreads
00015349	sweet-spreads
00015349	farming-products
00015349	honeys
00015349	bee-products
00015349	breakfasts
00015349	sweeteners
00015356	plant-based-foods-and-beverages
00015356	berries
00015356	fruits-and-vegetables-based-foods
00015356	fruits
00015356	plant-based-foods
00015356	fruits-based-foods
00016063	meals
00016063	soups
00016940	popcorn
00016940	sugary-snacks
00018097	fresh-vegetables
00018097	plant-based-foods-and-beverages
00018097	fresh-foods
00018097	plant-based-foods
00018097	fruits-and-vegetables-based-foods
00018097	vegetables-based-foods
00018097	fresh-plant-based-foods
00018097	leaf-salads
00018097	leaf-vegetables
00018166	breakfasts
00018999	plant-based-foods-and-beverages
00018999	cereals-and-potatoes
00018999	cereals-and-their-products
00018999	breakfast-cereals
00018999	breakfasts
00018999	plant-based-foods
00019101	shortbread
00019101	sugary-snacks
00019101	biscuits
00019101	shortbread-cookies
00019101	biscuits-and-cakes
00019170	plant-based-foods-and-beverages
00019170	fresh-foods
00019170	mushrooms
00019170	plant-based-foods
00019170	fruits-and-vegetables-based-foods
00019170	vegetables-based-foods
00019170	fresh-plant-based-foods
00019170	mushrooms-and-their-products
0002000003012	beverages
0002000003012	iced-teas
0002000003012	peach-flavored-iced-teas
0002000003012	non-alcoholic-beverages
0002000003289	meals
0002000003289	prepared-salads
0002000003555	beverages
0002000003555	non-sugared-beverages
0002000003555	non-alcoholic-beverages
0002000008390	meals
0002000008390	appetizers
0002000008390	salty-snacks
0002000008390	meals-with-fish
0002000008390	preparations-made-from-fish-meat
0002000008536	panettone
0002000008536	brioches
0002000008536	viennoiseries
0002000008536	sugary-snacks
00020275	meats
00020275	sausages
00020275	prepared-meats
0002042861915	bodybuilding-supplements
0002042861915	protein-powders
0002042861915	dietary-supplements
000227	sugary-snacks
000227	cakes
000227	chocolate-cakes
000227	pastries
000227	biscuits-and-cakes
00023092	cookies
00023092	biscuits
00023092	biscuits-and-cakes
00023092	sugary-snacks
00024280	biscuits
00024280	biscuits-and-cakes
00024280	sugary-snacks
00024280	dry-biscuits
00024655	beverages
