code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0000790310013	Sour Fruit Gummies	https://static.openfoodfacts.org/images/products/000/079/031/0013/front_en.7.400.jpg	9	d	4	1360		0	0								75	57.5			0	5				0.127	0.05																																										14	14							
0000790310020	Jelly Fish	https://static.openfoodfacts.org/images/products/000/079/031/0020/front_en.8.400.jpg	8	c	4	586		0	0								34	24			0	0				0.0762	0.03																																										6	6							
0000790310044	Color bombe	https://static.openfoodfacts.org/images/products/000/079/031/0044/front.9.400.jpg	0																																																																										
00008433	Mixed peppers	https://static.openfoodfacts.org/images/products/00008433/front_en.3.400.jpg	0																																																																										
00008761	Spring onions	https://static.openfoodfacts.org/images/products/00008761/front_en.3.400.jpg	0																																																																										
0000886100252	Pepsi	https://static.openfoodfacts.org/images/products/000/088/610/0252/front.3.400.jpg	0																																																																										
0001000004005	Crème de marrons	https://static.openfoodfacts.org/images/products/000/100/000/4005/front.3.400.jpg	0																																																																										
0001006530676	Ajo picado Del Monte		1	b	4	0		0	0								0	0			0	0				0.593	0.233																																										2	2							
000104	30 Panach' Fruits	https://static.openfoodfacts.org/images/products/000104/front.8.400.jpg	9	d	4	1724		18	2								57	31			1	5				0.63	0.248031496062992																																										13	13							
00011021096	Foie gras de canard du Périgord	https://static.openfoodfacts.org/images/products/000/110/210/96/front.3.400.jpg	0																																																																										
00011201096	Foie gras canard Périgord	https://static.openfoodfacts.org/images/products/000/112/010/96/front.3.400.jpg	0																																																																										
0001123550	Terrine de caille aux pruneaux d'Agen	https://static.openfoodfacts.org/images/products/000/112/355/0/front_en.3.400.jpg	0																																																																										
00011251085	Foie de canard aux figues	https://static.openfoodfacts.org/images/products/000/112/510/85/front.3.400.jpg	0																																																																										
0001126220	Tartinade de foie gras de canard aux cèpes	https://static.openfoodfacts.org/images/products/000/112/622/0/front.4.400.jpg	0																																																																										
00011281070	Foie gras d'oie Périgord	https://static.openfoodfacts.org/images/products/000/112/810/70/front.8.400.jpg	0																																																																										
00011281076	Foie gras d'oie du Périgord	https://static.openfoodfacts.org/images/products/000/112/810/76/front.5.400.jpg	0																																																																										
00011501	Curiously Strong Mints	https://static.openfoodfacts.org/images/products/00011501/front_en.21.400.jpg	1	d	4	1665		0.5	0.5								96	96			0.1	0.9				0	0																																										14	14							
00011679	All Butter Cookies Belgian Chocolate Chunk		3	e	4	2096		26	15.2								60.1	37.4			2.8	5.4				0.899999999999999	0.354330708661417																																										25	25							
00011686	All Butter Sultana Cookies	https://static.openfoodfacts.org/images/products/00011686/front.3.400.jpg	3	e	4	1866		17.9	11								64.3	34.7			3	5.5				0.850000000000001	0.334645669291339																																										22	22							
00011693	All Butter Belgian White Chocolate Chunk Cookies	https://static.openfoodfacts.org/images/products/00011693/front.10.400.jpg	3	e	4	2171		29.1	17								58.4	33.5			1.3	5.5				1	0.393700787401575																																										26	26							
00011709	All Butter Fruity Flapjack Cookies	https://static.openfoodfacts.org/images/products/00011709/front.6.400.jpg	5	e	4	1887		20.5	13.3								59.3	36.5			4.2	5.1				0.779999999999999	0.307086614173228																																					27					22	22							
00011723	Cookies aux pistaches et amandes		3	e	4	2209		32.1	14.9								46.9	20.7			4.5	10.7				0.7	0.275590551181102																																										19	19							
00011730	All butter Cranberry & Orange Cookies	https://static.openfoodfacts.org/images/products/00011730/front.7.400.jpg	5	e	4	1806		15.2	8.6								67.5	41.2			2.7	4.4				0.75	0.295275590551181																																										23	23							
00011747	Triple Belgian Chocolaté Chunk Cookies	https://static.openfoodfacts.org/images/products/00011747/front.3.400.jpg	0	e		2184		29.3	17								57.4	34.4			2.9	5.6				0.85	0.334645669291339																																										23	23							
00011754	Cookies Stem Ginger		3	e	4	1979		20.8	13.7								63.6	31.8			3.3	6.1				0.58	0.228346456692913																																										21	21							
00011778	Stem Ginger Cookies		4	e	4	1809		13.3	7								70.2	35.7			2.5	6.1				0.83	0.326771653543307																																										19	19							
00011815	Stem Ginger Dunkers	https://static.openfoodfacts.org/images/products/00011815/front.8.400.jpg	3	e	4	1981		20.8	13.7								63.6	31.8			3.3	6.1				0.570000000000001	0.224409448818898																																										21	21							
00011839	Smoothie Strawberry & Banana		2	e	4	238		0.3	0.3								12.1	10.6			0.7	0.9				0.0299999999999999	0.0118110236220472																																					73					12	0							
