code	country
00117746	france
00117746	united-kingdom
0011778	france
0011778	united-kingdom
00117975	united-kingdom
00117982	united-kingdom
0011822337557	united-states
0011822397476	united-states
0011822584234	united-states
0011842216009	germany
0011848205717	france
0011848243108	mexico
0011863118764	mexico
0011863118764	united-states
00118668	switzerland
00119740	france
00119740	united-kingdom
0012000001086	united-states
0012000002656	saudi-arabia
0012000012785	france
0012000012785	united-states
0012000032448	france
0012000039218	united-states
0012000041396	united-states
0012000071744	united-states
0012000109416	united-states
0012000110221	united-states
0012000126352	united-states
0012000130274	united-states
0012000130311	france
0012000130311	united-states
0012000151668	france
0012000151903	united-states
0012000215094	united-states
0012000302404	united-states
0012000374012	united-states
0012000547409	france
0012000808593	france
0012000813313	france
0012000813313	united-states
0012009012168	canada
00120425	united-kingdom
00120623	france
00120623	united-kingdom
00120715	france
00120715	united-kingdom
00120920	united-kingdom
0012142100661	mexico
0012142117713	united-states
00121552	united-states
00121903	france
00121903	united-kingdom
00122061	france
00122061	united-kingdom
00123051	france
0012345678905	france
00124935	united-states
0012511202316	united-states
0012511278328	united-states
0012511921064	united-states
0012546315098	belgium
0012546315098	france
0012546915199	united-states
0012546917568	united-states
00125628	united-kingdom
00125642	united-kingdom
001256420004503	united-kingdom
00126410	united-kingdom
0012656707547	france
00126953	united-kingdom
00127135	united-states
0012822009062	france
0012822009062	united-states
0012822009079	france
0012822009079	united-states
0012964000064	mexico
00129855	united-kingdom
0013000001243	mexico
0013000008990	united-states
0013000451604	united-states
0013000626057	united-states
0013000626095	united-states
00130257	united-kingdom
0013087245950	canada
00130912	france
00130912	united-kingdom
00131391	france
00131391	united-kingdom
0013189953166	france
00132282	united-kingdom
00132862	france
0013409000335	united-states
0013409341155	france
0013409341155	sweden
0013409341155	australia
0013409341155	united-states
0013409516003	australia
0013409516645	sweden
0013409516645	united-states
0013409516874	united-states
0013454375648	united-states
0013562000456	united-states
0013562300112	united-states
0013562302321	united-states
0013562303854	united-states
0013600000691	canada
0013602004369	mexico
0013602004383	mexico
0013764027138	france
0013764027138	united-states
00138178	france
00138178	united-kingdom
00138550	france
00138550	united-kingdom
00138932	france
0013935620236	france
0013964497144	united-states
0013964967401	france
0013964967425	france
0014051000001	france
0014054030517	united-states
0014054030715	united-states
0014054031255	france
00140591	united-kingdom
0014100042303	france
0014100042303	french-polynesia
0014100042587	united-states
0014100042631	united-states
0014100070337	united-states
0014100071143	france
0014100074038	united-states
0014100074120	mexico
0014100074359	united-states
0014100074649	mexico
0014100074670	united-states
0014100074724	united-states
0014100074816	mexico
0014100074830	france
0014100074830	united-states
0014100075226	united-states
0014100077084	france
0014100077084	united-states
0014100077121	united-states
0014100077152	france
0014100078609	united-states
0014100079477	mexico
0014100079521	mexico
0014100084068	canada
0014100085393	united-states
0014100085478	mexico
0014100085478	france
0014100085478	united-states
0014100085485	france
0014100085485	united-states
0014100085508	france
0014100085508	united-states
0014100085539	mexico
0014100093626	mexico
0014100093626	france
0014100096054	mexico
0014100096979	france
0014100096986	switzerland
0014100096986	france
0014100097006	switzerland
0014100097006	france
0014100097006	united-kingdom
0014100097013	france
0014100097037	france
0014100097068	france
0014100098416	united-states
0014100098423	united-states
0014100098980	france
0014100099680	france
0014100099680	united-states
0014100208815	canada
0014113210331	france
0014113210362	france
0014113230018	france
0014113230025	france
0014113230117	france
0014113230131	france
0014113911368	france
0014113911672	belgium
0014113911672	france
0014113911689	france
0014113911719	france
0014113912112	france
0014113912341	france
0014113912853	france
0014113912860	france
0014113912938	france
0014113913256	france
0014113913782	france
00143707	france
00143707	united-kingdom
0014402513747	united-kingdom
0014402513860	france
00144353	united-kingdom
0014500001962	united-states
0014500016621	united-states
00145206	france
00145206	united-kingdom
00145442	united-kingdom
0014563002005	mexico
00146098	united-kingdom
00146227	france
0014683003708	united-states
0014740000015	france
0014800000344	united-states
0014800001693	united-states
0014800001808	france
0014800002737	united-states
0014800515312	mexico
0014800515336	mexico
0014800925340	united-states
0014816001007	france
00148214	france
00148214	united-kingdom
00149228	france
0015000007287	france
0015000046804	belgium
0015000070014	united-states
0015000140069	united-states
00151269	united-kingdom
00151436	france
00152116	france
0015400015462	united-states
0015400015554	united-states
0015400047258	france
0015400047258	french-polynesia
0015400056397	united-states
0015400132831	united-states
0015400191524	united-states
0015418005745	united-states
00154208	france
00154277	france
00154277	united-kingdom
0015509010009	united-kingdom
0015586945034	france
00156738	france
0015700050026	france
0015700050026	australia
0015700052303	french-polynesia
0015700052327	france
0015747199115	united-states
0015758360856	france
0015800062110	united-states
0015869017106	france
00159111	united-kingdom
00159241	france
0015953708422	united-states
00159623	france
00159623	united-kingdom
0015984510407	united-states
0015984510414	united-states
0015984510421	united-states
0015984610787	united-states
0015984610855	united-states
0016000002043	france
0016000106406	united-states
0016000116108	united-states
0016000121850	france
0016000121850	united-states
0016000123991	france
0016000124790	united-states
0016000141568	france
0016000141568	united-states
0016000197268	france
0016000197268	united-states
0016000261648	mexico
0016000261648	france
0016000264601	france
0016000264601	french-polynesia
0016000264694	united-states
0016000264700	france
0016000264700	united-states
0016000264793	france
0016000264793	united-states
0016000272019	mexico
0016000275058	united-states
0016000275119	united-states
0016000275263	united-states
0016000275270	united-states
0016000275270	canada
0016000275287	united-states
0016000275294	united-states
0016000275324	united-states
0016000275348	france
0016000275348	united-states
0016000275645	united-states
0016000275713	united-states
0016000277076	france
0016000277076	united-states
0016000289208	new-caledonia
0016000289208	france
0016000289994	mexico
0016000298606	united-states
0016000401068	united-states
0016000409811	france
0016000409972	united-states
0016000423718	mexico
0016000423718	france
0016000431010	france
0016000431010	canada
0016000434721	france
0016000434721	united-states
0016000435094	united-states
0016000439894	france
0016000442825	france
0016000442825	united-states
0016000449763	united-states
0016000455306	france
0016000456822	united-states
0016000457010	mexico
0016000458987	united-states
0016000467583	mexico
0016000467590	mexico
0016000483668	france
0016000483668	united-states
0016000486249	united-states
0016000487727	united-states
0016000487925	united-states
0016000487932	united-states
0016000487949	united-states
0016000490888	mexico
0016000490895	mexico
0016000490949	mexico
0016000490956	mexico
0016000490970	mexico
0016000490987	mexico
0016000502642	germany
0016000502642	france
0016000502666	france
0016000507333	france
0016000507661	france
0016000507661	united-states
0016000507678	france
0016000507678	united-states
0016000509467	united-states
0016000515758	france
0016101000054	france
00161565	france
00161565	united-kingdom
00161862	france
00161862	united-kingdom
0016200334005	united-states
00162012	united-kingdom
00162067	united-kingdom
0016229000530	france
0016229000561	france
0016229000561	australia
0016229001704	france
0016229001919	france
0016229001940	france
0016229001940	australia
0016229001940	united-states
0016229002114	france
0016229002114	united-kingdom
0016229002114	united-states
0016229004507	france
0016229005320	france
0016229006099	france
0016229006143	france
0016229006167	france
0016229006174	france
0016229006181	france
0016229006198	france
0016229006747	netherlands
0016229006747	united-states
0016229006754	france
0016229007379	france
0016229007737	france
0016229008369	france
0016229009021	france
0016229009052	france
0016229009373	france
0016229010423	france
0016229901141	france
0016229901141	united-states
0016229901158	france
0016229901158	united-states
0016229901165	france
0016229901189	france
0016229901226	france
0016229901226	united-states
0016229901479	france
0016229901479	united-states
0016229902643	france
0016229902643	united-states
0016229902933	france
0016229902933	united-states
0016229902995	france
0016229903480	germany
0016229903534	france
0016229903534	united-states
0016229905248	france
0016229905521	france
0016229909109	france
0016229909109	united-states
0016229910204	france
0016229910907	france
0016229910907	australia
0016229910914	france
0016229910914	australia
0016229912437	spain
0016229912437	united-kingdom
0016229914578	france
0016229914578	united-states
0016229916435	france
0016229916435	united-states
0016229916688	france
0016229917593	france
0016229917593	united-states
0016229917630	france
0016229918477	france
0016229920456	france
0016229920517	france
0016300151731	france
0016300165783	france
00163484	united-kingdom
00164191	france
0016468443372	united-states
0016571111137	united-states
00166010	united-kingdom
001664	france
00166423	united-kingdom
0016741311336	united-states
00167826	france
0016796059306	france
00168281	france
00168281	united-kingdom
00168953	united-kingdom
00169042	united-kingdom
00169998	france
00169998	united-kingdom
00170529	united-kingdom
0017077102087	mexico
0017077103084	mexico
0017077109086	mexico
00172684	united-kingdom
00172899	france
00172899	united-kingdom
00173759	united-kingdom
0017400106959	united-states
00174398	united-kingdom
00174411	united-kingdom
0017444000701	france
00174930	france
00174930	united-kingdom
00175555	france
00175661	france
00175661	united-kingdom
0017754209382	france
00178358	united-kingdom
00178631	france
00178631	united-kingdom
0018000758463	united-states
0018000817818	united-states
00180078	united-kingdom
00180115	united-kingdom
001802	france
00180245	united-states
00180269	united-kingdom
00180306	united-kingdom
00180344	france
00180689	united-kingdom
00181402	united-kingdom
0018200001680	germany
0018200001680	france
0018200967153	united-states
0018341751062	germany
0018341751109	france
00184281	france
00184281	united-kingdom
00184311	france
00184311	united-kingdom
00185394	france
00185943	france
00185943	united-kingdom
0018627100997	canada
0018627102557	france
0018627102588	canada
0018627104834	canada
0018627597612	france
0018627597612	canada
0018627703211	france
0018627703211	united-states
0018627703396	mexico
0018627703396	france
0018627703488	mexico
0018627703488	france
00186803	france
00186803	united-kingdom
00188630	france
00188630	united-kingdom
0018894126867	united-states
0018894175445	united-states
0018894300137	united-states
0018894303237	united-states
0018894306016	united-states
0018894360155	france
0018894360155	united-states
0018894463313	united-states
0018894463320	united-states
0018894463337	united-states
0018894701118	united-states
0018894701156	united-states
0018894701194	united-states
0018894705833	united-states
0018894705840	united-states
0018894834106	united-states
00189095	france
0019000006684	france
0019061093746	united-states
0019281700110	france
0019281700127	france
0019281700134	france
0019281700141	france
0019281700158	france
0019281700165	france
00192927	france
0019320015441	france
0019320015441	united-states
00193696	united-kingdom
00194211	france
00194211	united-kingdom
00194822	united-kingdom
00195270	france
0019582390584	france
00197168	france
0019836100211	mexico
0019836100754	mexico
0019836100761	mexico
0019836100778	mexico
0019836100792	mexico
0019836200218	mexico
00198370	france
00198370	united-kingdom
0019893001100	united-states
00199353	france
00199353	united-kingdom
0019962520426	france
0019962688546	germany
00199681	united-states
0020000108216	united-states
0020007181588	france
0020009494945	france
0020009495935	france
0020032302323	france
0020035132521	hong-kong
0020035132521	france
0020035132545	hong-kong
0020035132613	hong-kong
0020100000069	united-states
0020100000083	united-states
0020100000212	united-states
0020100000465	united-states
00201766	france
00201766	united-kingdom
0020200070061	united-states
00202343	france
00202343	united-kingdom
0020242124913	germany
00203180	united-kingdom
0020502140219	france
0020502140233	france
0020527022118	united-states
0020527089111	united-states
0020601407893	united-states
0020662000125	united-states
0020662000132	france
0020662000132	united-states
0020662000156	united-states
0020662000200	united-states
0020662001153	united-states
0020685000935	france
0020685000959	france
0020685000959	united-kingdom
0020711812051	reunion
0020717102262	france
0020717812055	france
0020717812208	france
0020735092484	united-states
0020735160022	united-states
0020735160107	united-states
0020735420959	united-states
00208338	france
00208338	united-kingdom
002084329738	france
00208970	france
00208970	united-kingdom
0020899000745	mexico
0020899001063	mexico
0020899001087	mexico
0020899001377	mexico
0020899001605	mexico
0020899001803	mexico
0020899752057	mexico
0021000010875	united-states
0021000026319	united-states
0021000026326	united-states
0021000026494	united-states
0021000026791	united-states
0021000026876	united-states
0021000026968	france
0021000028245	united-states
0021000028276	united-states
0021000052288	mexico
0021000052325	united-states
0021000052349	united-states
0021000052387	france
0021000052387	united-states
0021000053155	united-states
0021000065110	united-states
0021000419074	united-states
0021000521388	mexico
0021000640041	thailand
0021000642199	french-polynesia
0021000642731	france
0021000642731	united-states
0021000643462	united-states
0021000643615	united-states
0021000644735	france
0021000644735	united-states
0021000646050	united-states
0021000653218	united-states
0021000658831	france
0021000658831	united-kingdom
0021000658930	france
0021000658930	united-states
0021000658978	france
0021000658978	united-states
0021000701476	united-states
0021078019091	france
0021078019091	united-states
0021130008087	united-states
0021130008124	united-states
0021130008155	united-states
0021130008377	united-states
0021130008384	united-states
0021130016495	united-states
